;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count
0;Marie Müller;Ahlefeld, Charlotte von;1799;f;42720
1;Erna;Ahlefeld, Charlotte von;1819;f;55886
2;Die Hosen des Herrn von Bredow;Alexis, Willibald;1846;m;110429
3;Ruhe ist die erste Bürgerpflicht;Alexis, Willibald;1852;m;309965
4;Schwester Monika;Anonym;1815;m;30762
5;Der Sternsteinhof;Anzengruber, Ludwig;1885;m;83961
6;Goethes Briefwechsel mit einem Kinde;Arnim, Bettina von;1835;f;174582
7;Die Günderode;Arnim, Bettina von;1840;f;147145
8;Clemens Brentanos Frühlingskranz;Arnim, Bettina von;1844;f;91833
9;Armut, Reichtum, Schuld und Buße der Gräfin Dolores;Arnim, Ludwig Achim von;1810;m;164919
10;Isabella von Ägypten;Arnim, Ludwig Achim von;1812;m;40155
11;Die Kronenwächter. Erster Band.;Arnim, Ludwig Achim von;1817;m;99938
12;Die Kronenwächter. Zweiter Band.;Arnim, Ludwig Achim von;1854;m;85502
13;Aus dem Leben einer Frau;Aston, Louise;1847;f;23511
14;Lydia;Aston, Louise;1848;f;50225
15;Revolution und Contrerevolution;Aston, Louise;1849;f;66708
16;Ivo der Hajrle;Auerbach, Berthold;1843;m;51053
17;Der Lautenbacher;Auerbach, Berthold;1843;m;25744
18;Die Frau Professorin;Auerbach, Berthold;1846;m;44072
19;Lucifer;Auerbach, Berthold;1849;m;47787
20;Brosi und Moni;Auerbach, Berthold;1853;m;39845
21;Die Geschichte des Diethelm von Buchenberg;Auerbach, Berthold;1853;m;65279
22;Der Lehnhold;Auerbach, Berthold;1854;m;56248
23;Barfüßele;Auerbach, Berthold;1856;m;62911
24;Die gute Schule;Bahr, Hermann;1890;m;53603
25;Flammetti;Ball, Hugo;1918;m;45852
26;Evremont;Bernhardi, Sophie;1822;f;223456
27;Stilpe. Ein Roman aus der Froschperspektive;Bierbaum, Otto Julius;1897;m;59192
28;Größenwahn;Bleibtreu, Karl;1888;m;242977
29;Fanny Förster;Boy-Ed, Ida;1889;f;69867
30;Vor der Ehe;Boy-Ed, Ida;1915;f;79405
31;Lebenssucher;Braun, Lily;1915;f;115202
32;Godwi oder Das steinerne Bild der Mutter;Brentano, Clemens;1801;m;132345
33;Mittheilungen aus den geheimen Memoiren einer deutschen Sängerin;Bruckbräu, Friedrich Wilhelm;1829;m;93713
34;Robinson, der Jüngere 1;Campe, Johann Heinrich;1779;m;44844
35;Robinson, der Jüngere 2;Campe, Johann Heinrich;1779;m;54308
36;Mathias Bichler;Christ, Lena;1914;f;69342
37;Die Rumplhanni;Christ, Lena;1916;f;51114
38;Madam Bäurin;Christ, Lena;1920;f;34740
39;Jungfer Mutter;Christen, Ada;1892;f;39223
40;Liebe und Irrthum ;Clauren;1827;m;45910
41;Was die Isar rauscht;Conrad, Michael Georg;1888;m;127054
42;Adam Mensch;Conradi, Hermann;1889;m;93943
43;Kampf um Rom;Dahn, Felix;1876;m;211785
44;Wie Frauen werden;Dohm, Hedwig;1894;f;31430
45;Sibilla Dalmar;Dohm, Hedwig;1896;f;80334
46;Schicksale einer Seele;Dohm, Hedwig;1899;f;87609
47;Christa Ruland;Dohm, Hedwig;1902;f;63343
48;Großstadt;Duncker, Dora;1900;f;71647
49;Bozena;Ebner-Eschenbach, Marie von;1876;f;62698
50;Lotti, die Uhrmacherin;Ebner-Eschenbach, Marie von;1880;f;33548
51;Das Gemeindekind;Ebner-Eschenbach, Marie von;1887;f;63884
52;Ein kleiner Roman;Ebner-Eschenbach, Marie von;1889;f;26368
53;Unsühnbar;Ebner-Eschenbach, Marie von;1890;f;57988
54;Agave;Ebner-Eschenbach, Marie von;1903;f;42219
55;Amalie. Eine wahre Geschichte in Briefen;Ehrmann, Marianne;1788;f;118040
56;Ninas Briefe an ihren Geliebten;Ehrmann, Marianne;1788;f;44039
57;Ahnung und Gegenwart;Eichendorff, Joseph von;1815;m;97126
58;Dichter und ihre Gesellen;Eichendorff, Joseph von;1834;m;76115
59;Herr Lorenz Stark;Engel, Johann Jakob;1795;m;44202
60;Der Taifun;Essig, Hermann;1919;m;99367
61;Reich und arm;Felder, Franz Michael;1868;m;112578
62;Vierzehn Tage in Paris;Fischer, Caroline Auguste;1801;f;13477
63;Gustavs Verirrungen;Fischer, Caroline Auguste;1801;f;19829
64;Die Honigmonathe;Fischer, Caroline Auguste;1802;f;33548
65;Der Günstling;Fischer, Caroline Auguste;1808;f;16603
66;Margarethe;Fischer, Caroline Auguste;1812;f;37967
67;Hannchens Hin- und Herzüge;Fischer, Christian August;1807;m;26154
68;Seefahrt ist not!;Fock, Gorch;1913;m;75497
69;Vor dem Sturm;Fontane, Theodor;1878;m;223243
70;Grete Minde;Fontane, Theodor;1879;m;32666
71;L Adultera;Fontane, Theodor;1880;m;44016
72;Ellernklipp;Fontane, Theodor;1881;m;38711
73;Schach von Wuthenow;Fontane, Theodor;1882;m;41862
74;Graf Petöfy;Fontane, Theodor;1884;m;59484
75;Unterm Birnbaum;Fontane, Theodor;1885;m;32707
76;Cécile;Fontane, Theodor;1887;m;55415
77;Irrungen, Wirrungen;Fontane, Theodor;1887;m;51573
78;Stine;Fontane, Theodor;1890;m;29682
79;Quitt;Fontane, Theodor;1890;m;80207
80;Unwiederbringlich;Fontane, Theodor;1892;m;81260
81;Frau Jenny Treibel;Fontane, Theodor;1892;m;59303
82;Effi Briest;Fontane, Theodor;1894;m;95396
83;Die Poggenpuhls;Fontane, Theodor;1895;m;31779
84;Der Stechlin;Fontane, Theodor;1897;m;125070
85;Mathilde Möhring;Fontane, Theodor;1906;m;32864
86;Rodrich;Fouqué, Caroline de la Motte;1807;f;66375
87;Die Frau des Falkensteins;Fouqué, Caroline de la Motte;1810;f;66689
88;Magie der Natur;Fouqué, Caroline de la Motte;1812;f;41957
89;Der Spanier und der Freiwillige in Paris;Fouqué, Caroline de la Motte;1814;f;34390
90;Resignation;Fouqué, Caroline de la Motte;1829;f;137835
91;Judith die Kluswirtin;François, Louise von;1862;f;45207
92;Die Geschichte meines Urgroßvaters;François, Louise von;1868;f;32170
93;Die letzte Reckenburgerin;François, Louise von;1871;f;92094
94;Stufenjahre eines Glücklichen;François, Louise von;1877;f;163874
95;Der Katzenjunker;François, Louise von;1879;f;42583
96;Leib Weihnachtskuchen und sein Kind;Franzos, Karl Emil;1896;m;59209
97;Der Pojaz;Franzos, Karl Emil;1905;m;139905
98;Wir Frauen haben kein Vaterland;Frapan, Ilse;1899;f;24163
99;Arbeit;Frapan, Ilse;1903;f;75560
100;Soll und Haben;Freytag, Gustav;1855;m;286598
101;Die verlorene Handschrift;Freytag, Gustav;1864;m;256064
102;Virginia oder Die Kolonie von Kentucky;Frölich, Henriette;1819;f;56975
103;Schloß Hubertus;Ganghofer, Ludwig;1895;m;161645
104;Der Ochsenkrieg;Ganghofer, Ludwig;1914;m;174909
105;Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas;Gerstäcker, Friedrich;1846;m;146603
106;Die Flußpiraten des Mississippi. Aus dem Waldleben Amerikas.;Gerstäcker, Friedrich;1848;m;158064
107;Die Leiden des jungen Werther;Goethe, Johann Wolfgang;1774;m;39505
108;Wilhelm Meisters Lehrjahre;Goethe, Johann Wolfgang;1795;m;194211
109;Die Wahlverwandtschaften;Goethe, Johann Wolfgang;1809;m;79163
110;Wilhelm Meisters Wanderjahre;Goethe, Johann Wolfgang;1821;m;147362
111;Wie Uli der Knecht glücklich wird;Gotthelf, Jeremias;1841;m;133773
112;Geld und Geist;Gotthelf, Jeremias;1843;m;136250
113;Uli der Pächter;Gotthelf, Jeremias;1849;m;149766
114;Wally, die Zweiflerin;Gutzkow, Karl;1835;m;36183
115;Europäisches Sklavenleben;Hackländer, Friedrich Wilhelm von;1854;m;360529
116;Gräfin Faustine;Hahn-Hahn, Ida Gräfin von;1840;f;78046
117;Sibylle;Hahn-Hahn, Ida Gräfin von;1846;f;111328
118;Maria Regina;Hahn-Hahn, Ida Gräfin von;1860;f;228497
119;Usong;Haller, Albrecht von;1771;m;56139
120;Mitteilungen aus den Memoiren des Satan;Hauff, Wilhelm;1825;m;90187
121;Lichtenstein;Hauff, Wilhelm;1826;m;126161
122;Die Bettlerin vom Pont des Arts;Hauff, Wilhelm;1826;m;36651
123;Einhart der Lächler;Hauptmann, Carl;1915;m;87654
124;Ardinghello und die glückseligen Inseln;Heinse, Wilhelm;1787;m;102002
125;Faust und Don Juan;Hesekiel, George;1846;m;78687
126;Briefe, die ihn nicht erreichten;Heyking, Elisabeth von;1903;f;48118
127;Tschun;Heyking, Elisabeth von;1914;f;62763
128;Kreuz- und Querzüge des Ritters A bis Z;Hippel, Theodor Gottlieb von;1760;m;187646
129;Lebensläufe nach aufsteigender Linie;Hippel, Theodor Gottlieb von;1778;m;320017
130;Die Elixiere des Teufels;Hoffmann, E. T. A.;1815;m;106933
131;Lebensansichten des Katers Murr;Hoffmann, E. T. A.;1819;m;134006
132;Fragment von Hyperion;Hölderlin, Friedrich;1795;m;7024
133;Hyperions Jugend;Hölderlin, Friedrich;1795;m;12003
134;Hyperion oder der Eremit in Griechenland;Hölderlin, Friedrich;1797;m;48032
135;Die Familie Seldorf;Huber, Therese;1795;f;92111
136;Luise;Huber, Therese;1796;f;39293
137;Klosterberuf;Huber, Therese;1807;f;46839
138;Ellen Percy;Huber, Therese;1822;f;88631
139;Die Epigonen;Immermann, Karl;1836;m;195990
140;Münchhausen;Immermann, Karl;1838;m;240220
141;Woldemar;Jacobi, Friedrich Heinrich;1779;m;28609
142;Aus Eduard Allwills Papieren;Jacobi, Friedrich Heinrich;1781;m;24719
143;Niels Lyhne;Jacobsen, Jens Peter;1880;m;67649
144;Ninive;Janitschek, Maria;1896;f;45271
145;Die Amazonenschlacht;Janitschek, Maria;1897;f;17800
