index;Titel;Autor_normalisiert;Jahr;Geschlecht;Gattung;all_words_count;AbstConc;anteil_AbstConc
0;Marie Müller;Ahlefeld, Charlotte von;1799;f;Roman;42720;874.662.780.000.023;2.047.431.601.123.640
1;Erna;Ahlefeld, Charlotte von;1819;f;Roman;55886;11.571.577.500.000.600;20.705.682.102.853.300
2;Die Hosen des Herrn von Bredow;Alexis, Willibald;1846;m;Roman;110429;24.616.923.199.998.500;2.229.208.197.122.000
3;Ruhe ist die erste Bürgerpflicht;Alexis, Willibald;1852;m;Roman;309965;6.548.729.540.000.260;21.127.319.342.507.200
4;Schwester Monika;Anonym;1815;m;Roman;30762;6.921.565.099.999.960;22.500.374.162.928.100
5;Der Sternsteinhof;Anzengruber, Ludwig;1885;m;Roman;83961;16.570.565.499.999.900;1.973.602.684.579.730
6;Goethes Briefwechsel mit einem Kinde;Arnim, Bettina von;1835;f;Roman;174582;3.750.681.650.000.270;21.483.782.119.578.600
7;Die Günderode;Arnim, Bettina von;1840;f;Roman;147145;29.593.755.200.001.400;20.111.967.922.798.200
8;Clemens Brentanos Frühlingskranz;Arnim, Bettina von;1844;f;Roman;91833;19.004.227.500.000.000;2.069.433.373.623.870
9;Armut, Reichtum, Schuld und Buße der Gräfin Dolores;Arnim, Ludwig Achim von;1810;m;Roman;164919;36.544.905.800.001.700;22.159.305.962.321.900
10;Isabella von Ägypten;Arnim, Ludwig Achim von;1812;m;Roman;40155;8.990.564.200.000.110;22.389.650.603.910.100
11;Die Kronenwächter. Erster Band.;Arnim, Ludwig Achim von;1817;m;Roman;99938;23.477.287.799.999.500;23.491.852.748.703.700
12;Die Kronenwächter. Zweiter Band.;Arnim, Ludwig Achim von;1854;m;Roman;85502;199.728.785.999.998;23.359.545.507.707.100
13;Aus dem Leben einer Frau;Aston, Louise;1847;f;Roman;23511;5.166.998.799.999.970;2.197.694.185.700.290
14;Lydia;Aston, Louise;1848;f;Roman;50225;11.165.774.300.000.300;22.231.506.819.313.700
15;Revolution und Contrerevolution;Aston, Louise;1849;f;Roman;66708;1.500.883.360.000.030;2.249.930.083.348.370
16;Ivo der Hajrle;Auerbach, Berthold;1843;m;Roman;51053;1.147.396.210.000.020;2.247.460.893.581.220
17;Der Lautenbacher;Auerbach, Berthold;1843;m;Roman;25744;55.220.475.999.999.800;214.498.430.702.299
18;Die Frau Professorin;Auerbach, Berthold;1846;m;Roman;44072;9.465.103.400.000.320;21.476.455.345.798.500
19;Lucifer;Auerbach, Berthold;1849;m;Roman;47787;10.129.591.500.000.200;2.119.737.899.428.750
20;Brosi und Moni;Auerbach, Berthold;1853;m;Roman;39845;8.605.158.400.000.190;21.596.582.758.188.400
21;Die Geschichte des Diethelm von Buchenberg;Auerbach, Berthold;1853;m;Roman;65279;14.386.442.800.000.000;22.038.393.357.741.400
22;Der Lehnhold;Auerbach, Berthold;1854;m;Roman;56248;12.130.648.500.000.400;21.566.364.137.392.400
23;Barfüßele;Auerbach, Berthold;1856;m;Roman;62911;13.195.944.400.000.400;20.975.575.654.496.700
24;Die gute Schule;Bahr, Hermann;1890;m;Roman;53603;11.061.440.100.000.500;2.063.586.011.977.040
25;Flammetti;Ball, Hugo;1918;m;Roman;45852;10.827.427.400.000.300;23.613.860.682.195.500
28;Evremont;Bernhardi, Sophie;1822;f;Roman;223456;48.426.088.400.003.100;2.167.142.005.585.130
29;Stilpe. Ein Roman aus der Froschperspektive;Bierbaum, Otto Julius;1897;m;Roman;59192;12.358.371.700.000.400;2.087.844.928.368.770
30;Größenwahn;Bleibtreu, Karl;1888;m;Roman;242977;50.191.683.100.004;2.065.696.880.774.880
31;Fanny Förster;Boy-Ed, Ida;1889;f;Roman;69867;16.229.759.200.000.000;23.229.506.347.775.100
32;Vor der Ehe;Boy-Ed, Ida;1915;f;Roman;79405;179.455.597.999.996;2.260.003.752.912.230
33;Lebenssucher;Braun, Lily;1915;f;Roman;115202;2.821.135.529.999.980;2.448.859.854.863.610
34;Godwi oder Das steinerne Bild der Mutter;Brentano, Clemens;1801;m;Roman;132345;2.872.391.990.000.110;21.703.819.486.947.800
35;Jane Eyre;Brontë, Charlotte;1847;f;Roman;203806;44.809.760.500.009.600;2.198.647.758.162.640
36;Mittheilungen aus den geheimen Memoiren einer deutschen Sängerin;Bruckbräu, Friedrich Wilhelm;1829;m;Roman;93713;2.088.072.499.999.900;22.281.567.125.157.700
37;Robinson, der Jüngere 1;Campe, Johann Heinrich;1779;m;Roman;44844;9.223.766.600.000.210;2.056.856.346.445.500
38;Robinson, der Jüngere 2;Campe, Johann Heinrich;1779;m;Roman;54308;11.078.724.900.000.200;20.399.802.791.486.000
40;Mathias Bichler;Christ, Lena;1914;f;Roman;69342;1.508.254.650.000.000;21.750.953.967.292.500
41;Die Rumplhanni;Christ, Lena;1916;f;Roman;51114;9.258.134.600.000.210;18.112.717.846.383.000
42;Madam Bäurin;Christ, Lena;1920;f;Roman;34740;6.769.989.299.999.970;1.948.759.153.713.290
43;Jungfer Mutter;Christen, Ada;1892;f;Roman;39223;9.233.665.500.000.110;23.541.456.543.354.900
44;Liebe und Irrthum ;Clauren;1827;m;Roman;45910;9.891.082.800.000.320;21.544.506.207.798.500
45;Fanny Hill oder Geschichte eines Freudenmädchens;Cleland, John;1789;m;Roman;21575;49.525.685.000.000.100;22.955.126.303.592.100
46;Was die Isar rauscht;Conrad, Michael Georg;1888;m;Roman;127054;2.838.815.799.999.890;2.234.337.998.016.500
47;Adam Mensch;Conradi, Hermann;1889;m;Roman;93943;19.936.342.799.999.300;21.221.743.823.381.500
48;Kampf um Rom;Dahn, Felix;1876;m;Roman;211785;4.766.193.890.000.470;2.250.486.998.607.300
53;Wie Frauen werden;Dohm, Hedwig;1894;f;Roman;31430;6.920.163.899.999.940;2.201.770.251.352.190
54;Sibilla Dalmar;Dohm, Hedwig;1896;f;Roman;80334;18.053.368.199.999.700;2.247.288.595.115.360
