;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count;anteil_Bilder;anteil_Taschen;anteil_Pflanzen;anteil_Kleidung;anteil_Schmuck;anteil_Gerueche;anteil_Pflanzenteile;anteil_helligkeitsspezifisch;anteil_Dekorationsgegenstaende;anteil_Gartenanlagen;anteil_Kunstobjekte;anteil_Ornamente;anteil_Muster;anteil_aussehensspezifisch;anteil_Emotionen;anteil_Wege;anteil_Stoffe;anteil_Kleidungsteile;anteil_Heimtextilien;anteil_oberflaechenspezifisch;anteil_Gruenflaechen;anteil_Aufmachung;anteil_Zimmer;anteil_Farben;anteil_Moebel;anteil_Kommunikationsverben;anteil_Holz;anteil_Charaktereigenschaften;anteil_Gebaeudeteile;anteil_formspezifisch;anteil_Waelder;anteil_Koerperteile;anteil_Haushaltsgegenstaende;anteil_Bauwerke;anteil_konkret;anteil_abstrakt;anteil_['rot', 'blau', 'grün'];anteil_['Kleid', 'Mantel', 'Hut'];anteil_['Finger', 'Ohr', 'Nase']
0;Marie Müller;Ahlefeld, Charlotte von;1799;f;42720;0.0001404494382022;2.3408239700374533e-05;0.0008192883895131;0.0003043071161048;0.0003979400749063;0.0018258426966292;0.0001872659176029;0.0012640449438202;0.0;0.0004213483146067;0.0;0.0;0.0;0.0011704119850187;0.0719335205992509;0.0005383895131086;0.0002340823970037;0.0001638576779026;4.6816479400749066e-05;0.0002808988764044;0.0003979400749063;9.363295880149812e-05;0.0007256554307116;0.0010065543071161;0.0004681647940074;0.0020365168539325;0.0001404494382022;0.0266151685393258;0.0018258426966292;2.3408239700374533e-05;7.02247191011236e-05;0.0113295880149812;0.0001638576779026;0.0012172284644194;0.0252808988764044;0.0985486891385767;0.0003043071161048;9.363295880149812e-05;0.0001404494382022
1;Erna;Ahlefeld, Charlotte von;1819;f;55886;5.368070715384891e-05;3.578713810256594e-05;0.0005904877786923;0.0003399778119743;0.0003578713810256;0.0015925276455641;0.0005010199334359;0.001771463336077;0.0;0.0001789356905128;8.946784525641484e-05;0.0;3.578713810256594e-05;0.0011988691264359;0.0389364062555917;0.000697849193;0.000322084242923;0.0001252549833589;8.946784525641484e-05;0.0003936585191282;0.0002505099667179;0.0002684035357692;0.0006620620548974;0.0007873170382564;0.0006620620548974;0.0030776938768206;0.0;0.0251762516551551;0.001771463336077;0.0002505099667179;0.0002326163976666;0.0085710195755645;0.0001610421214615;0.0012167626954872;0.023207959059514;0.0641126579107468;0.0001252549833589;7.157427620513188e-05;0.0001968292595641
2;Die Hosen des Herrn von Bredow;Alexis, Willibald;1846;m;110429;9.961151509114452e-05;0.0002807233607114;0.0010232819277544;0.0019650635249798;0.0003622236912405;0.0007968921207291;8.150033052911825e-05;0.0009508371895063;0.0;7.244473824810512e-05;4.52779614050657e-05;1.811118456202628e-05;0.0001630006610582;0.0010685598891595;0.0145432812033071;0.0010232819277544;0.000733502974762;0.0001901674379012;0.000706336197919;0.0002535565838683;0.0003712792835215;0.0002626121761493;0.0009327260049443;0.0011319490351266;0.0016571733874254;0.0047904083166559;0.0004256128372076;0.0099611515091144;0.0031241793369495;0.0006882250133569;0.0011319490351266;0.0144255585036539;0.0007787809361671;0.0028796783453621;0.0376440971121716;0.0245044327124215;0.0001901674379012;0.0002807233607114;0.0009327260049443
3;Ruhe ist die erste Bürgerpflicht;Alexis, Willibald;1852;m;309965;7.097575532721437e-05;0.0003097123868823;0.0008323520397464;0.0013678963753972;0.0002064749245882;0.0007323407481489;9.033277950736372e-05;0.0008323520397464;2.5809365573532495e-05;0.0002451889729485;0.0001032374622941;6.452341393383124e-06;7.420192602390593e-05;0.0010581839885148;0.0206862065071862;0.0004742470924136;0.0007484716016324;0.0001838917297114;0.0002774506799154;0.0001967964124981;0.0002806768506121;0.0002129272659816;0.0011485167680221;0.0007516977723291;0.0017324536641233;0.0036552513993515;7.742809672059749e-05;0.011965867114029;0.0029196844805058;0.0006452341393383;0.0001032374622941;0.0122110560869775;0.0007742809672059;0.0014840385204781;0.0301776006968528;0.0326520736212153;0.0001838917297114;0.0004677947510202;0.0006323294565515
4;Schwester Monika;Anonym;1815;m;30762;0.0001300305571809;3.250763929523438e-05;0.0007151680644951;0.0092646771991417;0.0001625381964761;0.0009102139002665;0.0001625381964761;0.0007151680644951;0.0;0.0007151680644951;6.501527859046876e-05;0.0;0.0001625381964761;0.0023405500292568;0.0202847669202262;0.0003575840322475;0.0003575840322475;6.501527859046876e-05;0.000422599310838;0.0005201222287237;0.000422599310838;0.0001300305571809;0.0015928743254664;0.0009102139002665;0.0021780118327807;0.0036408556010662;9.752291788570316e-05;0.0172615564657694;0.0029907028151615;9.752291788570316e-05;0.0002600611143618;0.0173265717443599;0.0007801833430856;0.0016578896040569;0.0455432026526233;0.0375463233859957;0.0001950458357714;0.0007476757037903;0.000845198621676
5;Der Sternsteinhof;Anzengruber, Ludwig;1885;m;83961;4.764116673217327e-05;0.0002739367087099;0.0004168602089065;0.0009885542096925;0.0001310132085134;0.0004168602089065;5.9551458415216587e-05;0.0007146175009825;0.0;0.0006669763342504;9.528233346434654e-05;2.382058336608663e-05;8.337204178130323e-05;0.0010123747930586;0.0136611045604506;0.001119567418206;0.0004287705005895;0.0002143852502947;0.0004168602089065;0.0001548337918795;0.000559783709103;0.0002739367087099;0.0016436202522599;0.0008098998344469;0.0017984540441395;0.0032157787544216;0.0001548337918795;0.0118745608079941;0.0033825228379843;0.0005955145841521;0.0002739367087099;0.0167339598146758;0.0008575410011791;0.0025726230035373;0.0369219042174342;0.0255356653684448;0.0002739367087099;0.0002382058336608;0.0007741689593978
6;Goethes Briefwechsel mit einem Kinde;Arnim, Bettina von;1835;f;174582;6.300764110847625e-05;4.582373898798272e-05;0.0026062251549415;0.0010997697357115;0.0004009577161448;0.0010654019314705;0.0002863983686748;0.0013575282675189;1.145593474699568e-05;0.0009508425840006;8.019154322896977e-05;2.291186949399136e-05;5.1551706361480566e-05;0.0010596739640971;0.0268698949490783;0.0009966663229886;0.0002291186949399;0.0001374712169639;0.0003264941402893;0.0002634864991809;0.0005384289331087;0.0002405746296869;0.0008305552691571;0.0017355741141698;0.0013747121696394;0.0029842710015923;0.0001890229233254;0.0137299377942743;0.0029098074257369;0.0007790035627957;0.0003608619445303;0.0082711848873308;0.0005498848678557;0.0017699419184108;0.0306045296765989;0.0405998327433526;0.0006186204763377;0.0003608619445303;0.0002921263360483
7;Die Günderode;Arnim, Bettina von;1840;f;147145;1.3592035067450474e-05;9.514424547215331e-05;0.0024057902069387;0.0008223181215807;0.0003126168065513;0.0010058105949913;0.0002378606136803;0.0013727955418124;6.796017533725237e-06;0.0006999898059736;2.038805260117571e-05;0.0;2.7184070134900948e-05;0.0006999898059736;0.0208909578986713;0.0009582384722552;0.0001631044208094;0.0001087362805396;0.0001359203506745;0.0001495123857419;0.0004893132624282;0.0001902884909443;0.0006524176832376;0.0012368751911379;0.000815522104047;0.0028203472764959;0.0001087362805396;0.0129735974718814;0.0021407455231234;0.0007747459988446;0.0003601889292874;0.005688266675728;0.0002786367188827;0.0013863875768799;0.0233579122634136;0.0338645553705528;0.0005232933500968;0.0002514526487478;0.0003465968942199
8;Clemens Brentanos Frühlingskranz;Arnim, Bettina von;1844;f;91833;3.2667995165136716e-05;0.0001088933172171;0.0024174316422201;0.0007295852253547;0.0004246839371467;0.0007731425522415;0.0001851186392691;0.0008275892108501;1.0889331721712238e-05;0.0010889331721712;9.800398549541016e-05;0.0;2.1778663443424476e-05;0.0005009092591987;0.0291942983459105;0.0006315812398593;0.0001633399758256;0.0001524506441039;0.0001851186392691;0.0001415613123822;0.0007513638887981;7.622532205198568e-05;0.0006642492350244;0.0011107118356146;0.0010018185183975;0.0024936569642721;7.622532205198568e-05;0.0161271002798558;0.0022214236712292;0.0006206919081375;0.0004029052737033;0.0049437566016573;0.0006206919081375;0.0011433798307797;0.0221271220585192;0.0453213986257663;0.000490019927477;0.0001524506441039;0.000261343961321
9;Armut, Reichtum, Schuld und Buße der Gräfin Dolores;Arnim, Ludwig Achim von;1810;m;164919;0.0001212716545698;0.0001819074818547;0.0014855777684802;0.0010975084738568;0.0006912484310479;0.0005821039419351;0.0001394624027552;0.0010671905602144;1.819074818547287e-05;0.0009156009920021;6.669941001340052e-05;2.4254330913963825e-05;4.2445079099436695e-05;0.0010065547329294;0.034137970761404;0.0005699767764781;0.0003031791364245;6.063582728490956e-05;0.0001879710645832;0.0001879710645832;0.0003698785464379;0.0002789248055105;0.0013946240275529;0.0013885604448244;0.0010550633947574;0.00333497050067;7.882657547038243e-05;0.0169901588052316;0.0027528665587348;0.000272861222782;0.0002486068918681;0.0068761028141087;0.0006851848483194;0.0030499821124309;0.0272012321200104;0.0511281295666357;0.0005396588628356;0.0004244507909943;0.0003941328773519
