;filename;Titel;Autor_normalisiert;Jahr;all_words_count;anteil_abstrakt;ant_narr_abstrakt;ant_narr_konkret;ant_dir_rede;ant_ind_rede;ant_rep;ant_free;abstconc_narr
0;k00100000001;Marie Müller;Ahlefeld, Charlotte von;1799;42720;0.09854868913857676;0.02704485488126649;0.013778950454412195;0.3703018979250664;0.07072475169633201;0.07180647064608123;0.012272593175336808;12.503.786.279.683.200
1;k00100000002;Erna;Ahlefeld, Charlotte von;1819;55886;0.06411265791074687;0.022868343678536424;0.012274233443785877;0.16187664344697145;0.11233104211837433;0.07908535929018468;0.02692562008888069;12.913.603.164.232.000
2;k00100000003;Die Hosen des Herrn von Bredow;Alexis, Willibald;1846;110429;0.024504432712421555;0.008892063208642085;0.026872600660655298;0.5027298247165182;0.06380642927138362;0.07832128673843047;0.020777613226940158;14.711.567.181.501.600
3;k00100000004;Ruhe ist die erste Bürgerpflicht;Alexis, Willibald;1852;309965;0.0326520736212153;0.009906899890085093;0.02430502478544756;0.5615745407632966;0.07105698870254205;0.080103311936237;0.02446737943893993;13.813.415.878.700.600
4;k00100000007;Schwester Monika;Anonym;1815;30762;0.037546323385995714;0.01166758392955421;0.025536598789212987;0.4509420643970245;0.05000814464896563;0.055953738393875234;0.0010859531954172776;14.152.482.113.373.600
5;k00100000009;Der Sternsteinhof;Anzengruber, Ludwig;1885;83961;0.025535665368444874;0.012314436584636844;0.02811597090764173;0.4337567706365125;0.06854451905467865;0.07542416402623955;0.01659835469899131;13.726.108.398.923.700
6;k00100000012;Goethes Briefwechsel mit einem Kinde;Arnim, Bettina von;1835;174582;0.04059983274335269;0.012049446974625894;0.019687703318152245;0.5697607664735367;0.07946952775620275;0.08084925730991331;0.0016836559938635805;13.834.785.035.784.400
7;k00100000013;Die Günderode;Arnim, Bettina von;1840;147145;0.033864555370552864;0.012331574270532978;0.01594037321146836;0.6244835327214344;0.09591656957744878;0.08484555710266829;0.001625415589213151;1.321.592.822.298.390
8;k00100000014;Clemens Brentanos Frühlingskranz;Arnim, Bettina von;1844;91833;0.04532139862576634;0.013181803164954244;0.014701509795500348;0.6813498196805771;0.08139213954515345;0.0879977184073011;0.001987193640980349;13.830.608.543.394.100
9;k00100000015;Armut, Reichtum, Schuld und Buße der Gräfin Dolores;Arnim, Ludwig Achim von;1810;164919;0.05112812956663575;0.016980188112867722;0.01280768461076646;0.3522025258869813;0.08856630324084844;0.09252624885621676;0.0006048480900758388;13.547.559.635.782.100
10;k00100000016;Isabella von Ägypten;Arnim, Ludwig Achim von;1812;40155;0.04432822811605031;0.01590852597564007;0.016192606796633643;0.224107827271953;0.12777872412912014;0.08233966442381399;0.007218294864151264;13.572.281.168.992.600
11;k00100000017;Die Kronenwächter. Erster Band.;Arnim, Ludwig Achim von;1817;99938;0.03963457343553003;0.014802399711783962;0.0189220093670212;0.29199914657563475;0.12057179432472798;0.0861873266481758;0.0017580541924471945;14.531.761.093.968.000
12;k00100000018;Die Kronenwächter. Zweiter Band.;Arnim, Ludwig Achim von;1854;85502;0.04005754251362542;0.015645894624231074;0.017785504145493448;0.35634892229380416;0.09381213711922373;0.07600612423447069;0.001560884434900183;14.485.846.100.943.700
